# ... Here is your AquaSaxs profile ...
# PDB model: 1aiv_model_center.pqr         
#   q(A-1)   .   Icalc   
.0000000E+00 .1649186E+09 100
.1000000E-01 .1593705E+09 100
.2000000E-01 .1438018E+09 100
.3000000E-01 .1211163E+09 100
.4000000E-01 .9520316E+08 100
.5000000E-01 .6989120E+08 100
.6000000E-01 .4806732E+08 100
.7000000E-01 .3122215E+08 100
.8000000E-01 .1948807E+08 100
.9000000E-01 .1204436E+08 100
.1000000E+00 .7660119E+07 100
.1100000E+00 .5157342E+07 100
.1200000E+00 .3670850E+07 100
.1300000E+00 .2697606E+07 100
.1400000E+00 .2008906E+07 100
.1500000E+00 .1521149E+07 100
.1600000E+00 .1195027E+07 100
.1700000E+00 .9883233E+06 100
.1800000E+00 .8517352E+06 100
.1900000E+00 .7428169E+06 100
.2000000E+00 .6375305E+06 100
.2100000E+00 .5312205E+06 100
.2200000E+00 .4312081E+06 100
.2300000E+00 .3473279E+06 100
.2400000E+00 .2854774E+06 100
.2500000E+00 .2458218E+06 100
.2600000E+00 .2244408E+06 100
.2700000E+00 .2160817E+06 100
.2800000E+00 .2161261E+06 100
.2900000E+00 .2210833E+06 100
.3000000E+00 .2280583E+06 100
.3100000E+00 .2341601E+06 100
.3200000E+00 .2365888E+06 100
.3300000E+00 .2334387E+06 100
.3400000E+00 .2246070E+06 100
.3500000E+00 .2120353E+06 100
.3600000E+00 .1989244E+06 100
.3700000E+00 .1882497E+06 100
.3800000E+00 .1813829E+06 100
.3900000E+00 .1775850E+06 100
.4000000E+00 .1746225E+06 100
.4100000E+00 .1701053E+06 100
.4200000E+00 .1627787E+06 100
.4300000E+00 .1530889E+06 100
.4400000E+00 .1428108E+06 100
.4500000E+00 .1340492E+06 100
.4600000E+00 .1282181E+06 100
.4700000E+00 .1255210E+06 100
.4800000E+00 .1251066E+06 100
.4900000E+00 .1256890E+06 100
.5000000E+00 .1262078E+06 100
