solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||0.433013 -0.25 -0.433013 -0.75|240.259 322.951 112.899|0|-1|-1|0.139446|1 0 0 0|0 1.0472 2.0944|-1
1||0.183013 0.683013 -0.683013 0.183013|344.332 321.791 151.662|0|-1|-1|0.137336|1 0 0 0|3.14159 2.61799 1.5708|-1
2||0.183013 0.683013 -0.683013 0.183013|349.332 316.791 151.662|0|-1|-1|0.1371|1 0 0 0|3.14159 2.61799 1.5708|-1
3||0.25 0.25 0.0669873 -0.933013|288.242 349.175 328.338|0|-1|-1|0.13663|1 0 0 0|4.18879 0.523599 4.71239|-1
4||0.25 0.25 0.0669873 -0.933013|293.242 349.175 328.338|0|-1|-1|0.136206|1 0 0 0|4.18879 0.523599 4.71239|-1
5||0.433013 -0.25 -0.433013 -0.75|235.259 322.951 112.899|0|-1|-1|0.13579|1 0 0 0|0 1.0472 2.0944|-1
6||0.433013 -0.25 -0.433013 -0.75|240.259 327.951 112.899|0|-1|-1|0.135524|1 0 0 0|0 1.0472 2.0944|-1
7||0.683013 0.183013 0.683013 0.183013|214.692 80.6823 339.471|0|-1|-1|0.135348|1 0 0 0|1.5708 1.5708 4.18879|-1
8||0.707107 0.612372 -0.353553 4.56253e-09|190.236 234.936 95.6823|0|-1|-1|0.135181|1 0 0 0|3.66519 1.5708 2.61799|-1
9||0.334565 -0.847101 -0.180057 -0.371572|138.396 304.842 175.236|0|-1|-1|0.134326|1 0 0 0|0.628319 2.0944 1.0472|-1
10||0.5 -0.683013 0.183013 0.5|263.835 204.669 366.303|0|-1|-1|0.134272|1 0 0 0|5.75959 1.5708 5.23599|-1
11||0.700629 -0.404508 -0.293893 0.509037|245.276 97.1084 330.625|0|-1|-1|0.133965|1 0 0 0|5.02655 1.0472 0|-1
12||0.183013 -0.683013 0.183013 -0.683013|289.692 364.318 170.529|0|-1|-1|0.133729|1 0 0 0|1.5708 1.5708 1.0472|-1
13||0.179184 0.673028 -0.545007 -0.46679|220.83 378.389 248.973|0|-1|-1|0.133384|1 0 0 0|5.02655 2.0944 3.66519|-1
14||0.183013 0.683013 -0.683013 0.183013|344.332 316.791 151.662|0|-1|-1|0.132033|1 0 0 0|3.14159 2.61799 1.5708|-1
15||0.683013 -0.0669873 -0.25 0.683013|345.557 89.9699 274.669|0|-1|-1|0.13201|1 0 0 0|4.18879 0.523599 0.523599|-1
16||0.353553 0.612372 -0.353553 -0.612372|230.308 376.303 210.259|0|-1|-1|0.13186|1 0 0 0|4.71239 1.5708 3.66519|-1
17||0.334565 -0.847101 -0.180057 -0.371572|138.396 309.842 175.236|0|-1|-1|0.131818|1 0 0 0|0.628319 2.0944 1.0472|-1
18||7.45058e-09 -0.866025 -0.5 9.12506e-09|105.682 165.529 205.308|0|-1|-1|0.131763|1 0 0 0|0 3.14159 1.0472|-1
19||0.433013 -0.25 -0.433013 -0.75|235.259 327.951 112.899|0|-1|-1|0.131518|1 0 0 0|0 1.0472 2.0944|-1
20||0.683013 -0.183013 -0.683013 -0.183013|198.035 111.567 87.9229|0|-1|-1|0.131034|1 0 0 0|5.23599 1.5708 1.5708|-1
21||0.25 0.25 0.0669873 -0.933013|288.242 354.175 328.338|0|-1|-1|0.130884|1 0 0 0|4.18879 0.523599 4.71239|-1
22||0.707107 0.612372 -0.353553 4.56253e-09|195.236 234.936 95.6823|0|-1|-1|0.130765|1 0 0 0|3.66519 1.5708 2.61799|-1
23||0.0669873 0.683013 0.683013 0.25|188.897 124.221 143.042|0|-1|-1|0.130231|1 0 0 0|1.0472 2.61799 2.61799|-1
24||0.683013 -0.183013 -0.683013 -0.183013|198.035 111.567 82.9229|0|-1|-1|0.130191|1 0 0 0|5.23599 1.5708 1.5708|-1
25||0.499315 -0.72631 -0.471671 0.026168|119.162 163.122 233.835|0|-1|-1|0.129655|1 0 0 0|5.65487 2.0944 0.523599|-1
26||0.179184 0.673028 -0.545007 -0.46679|220.83 378.389 243.973|0|-1|-1|0.129083|1 0 0 0|5.02655 2.0944 3.66519|-1
27||0.353553 0.612372 -0.353553 -0.612372|235.308 376.303 210.259|0|-1|-1|0.128896|1 0 0 0|4.71239 1.5708 3.66519|-1
28||0.12941 -0.965926 1.05367e-08 0.224144|143.993 320.828 290.852|0|-1|-1|0.128567|1 0 0 0|5.23599 2.61799 5.23599|-1
29||0.31466 0.808504 -0.310356 -0.388573|200.774 369.162 198.973|0|-1|-1|0.128045|1 0 0 0|4.39823 2.0944 3.66519|-1
30||0.683013 -0.0669873 -0.25 0.683013|345.557 89.9699 269.669|0|-1|-1|0.127997|1 0 0 0|4.18879 0.523599 0.523599|-1
31||0.683013 0.183013 0.683013 0.183013|214.692 80.6823 334.471|0|-1|-1|0.127875|1 0 0 0|1.5708 1.5708 4.18879|-1
32||0.0905243 0.456773 -0.203368 -0.861281|278.396 390.079 269.764|0|-1|-1|0.127827|1 0 0 0|5.02655 1.0472 4.18879|-1
33||0.836516 -9.12506e-09 0.258819 -0.482963|160.302 222.37 307.951|0|-1|-1|0.127539|1 0 0 0|2.0944 0.523599 5.23599|-1
34||0.612372 7.90253e-09 0.707107 0.353553|356.958 108.278 289.471|0|-1|-1|0.126905|1 0 0 0|1.0472 1.5708 4.18879|-1
35||0.5 -0.683013 0.183013 0.5|263.835 204.669 361.303|0|-1|-1|0.126877|1 0 0 0|5.75959 1.5708 5.23599|-1
36||9.12506e-09 -0.836516 0.482963 -0.258819|303.705 370.354 182.965|0|-1|-1|0.126489|1 0 0 0|2.0944 2.61799 1.0472|-1
37||0.183013 -0.183013 -0.683013 -0.683013|319.471 254.692 80.6823|0|-1|-1|0.126293|1 0 0 0|0 1.5708 2.61799|-1
38||0.836516 -9.12506e-09 0.258819 -0.482963|160.302 222.37 312.951|0|-1|-1|0.12621|1 0 0 0|2.0944 0.523599 5.23599|-1
39||0.643582 0.103956 -0.489074 0.579484|350.178 90.0222 202.428|0|-1|-1|0.126061|1 0 0 0|3.76991 1.0472 1.0472|-1
40||0.5 -0.683013 0.183013 0.5|258.835 204.669 366.303|0|-1|-1|0.125387|1 0 0 0|5.75959 1.5708 5.23599|-1
41||0.179184 0.673028 -0.545007 -0.46679|215.83 378.389 248.973|0|-1|-1|0.125354|1 0 0 0|5.02655 2.0944 3.66519|-1
42||0.433013 -0.25 -0.433013 -0.75|160.259 332.951 162.899|0|-1|-1|0.124806|1 0 0 0|0 1.0472 2.0944|-1
43||0.180057 -0.371572 -0.334565 -0.847101|292.596 318.9 117.899|0|-1|-1|0.124722|1 0 0 0|0.628319 1.0472 2.0944|-1
44||0.393167 -0.445503 -0.226995 -0.771634|238.66 350.922 148.209|0|-1|-1|0.124714|1 0 0 0|0.628319 1.0472 1.5708|-1
45||0.866025 -7.45058e-09 1.666e-08 -0.5|115.682 279.471 264.692|0|-1|-1|0.124449|1 0 0 0|0 0 1.0472|-1
46||0.482963 0.12941 -0.224144 0.836516|404.318 155.236 235.064|0|-1|-1|0.12438|1 0 0 0|3.14159 0.523599 1.0472|-1
47||0.612372 1.29048e-08 0.707107 0.353553|356.958 108.278 294.471|0|-1|-1|0.123964|1 0 0 0|1.0472 1.5708 4.18879|-1
48||0.683013 -0.183013 -0.683013 -0.183013|198.035 116.567 82.9229|0|-1|-1|0.123873|1 0 0 0|5.23599 1.5708 1.5708|-1
49||0.353553 -0.707107 2.63418e-09 0.612372|217.571 296.027 356.303|0|-1|-1|0.123833|1 0 0 0|5.23599 1.5708 5.23599|-1
50||0.371572 -0.180057 -0.847101 -0.334565|244.912 204.203 50.7065|0|-1|-1|0.12358|1 0 0 0|5.65487 2.0944 2.0944|-1
