# SAXS profile: number of points = 355, q_min = 0.0332286, q_max = 0.386938, delta_q = 0.000999179096045198
# offset = 0.00000000000000, scaling c = 3.82367662468004e-06, Chi = 3.88399746533328
#  q       exp_intensity   model_intensity
0.03323    11.85900000     10.70022683    
0.03423    11.81940000     10.62949442    
0.03523    11.66240000     10.55725683    
0.03623    11.49320000     10.48356335    
0.03723    11.16380000     10.40845083    
0.03822    11.07470000     10.33197031    
0.03922    11.04620000     10.25417166    
0.04022    10.95950000     10.17509384    
0.04122    11.13280000     10.09480593    
0.04222    10.95970000     10.01333315    
0.04322    10.68670000     9.93073111     
0.04422    10.43060000     9.84705383     
0.04522    10.28710000     9.76235070     
0.04622    10.33690000     9.67667062     
0.04722    10.30650000     9.59005470     
0.04822    10.00770000     9.50255648     
0.04922    10.05990000     9.41423233     
0.05021    9.91195000      9.32512196     
0.05121    9.82508000      9.23528842     
0.05221    9.52055000      9.14475465     
0.05321    9.41914000      9.05359115     
0.05421    9.34294000      8.96183781     
0.05521    9.17984000      8.86954391     
0.05621    9.15527000      8.77676394     
0.05721    8.92669000      8.68353680     
0.05821    8.81483000      8.58990366     
0.05921    8.62236000      8.49591487     
0.06021    8.49650000      8.40162307     
0.06121    8.46287000      8.30707841     
0.06220    8.34411000      8.21230828     
0.06320    8.28364000      8.11736398     
0.06420    8.12185000      8.02227897     
0.06520    7.92204000      7.92711272     
0.06620    7.83119000      7.83190657     
0.06720    7.76254000      7.73668189     
0.06820    7.66008000      7.64149328     
0.06920    7.58715000      7.54637931     
0.07020    7.46948000      7.45137002     
0.07120    7.33799000      7.35651859     
0.07220    7.20158000      7.26184425     
0.07320    7.06189000      7.16739373     
0.07419    7.00605000      7.07319931     
0.07519    6.88629000      6.97929091     
0.07619    6.81508000      6.88570908     
0.07719    6.66228000      6.79248250     
0.07819    6.51746000      6.69963327     
0.07919    6.48014000      6.60719748     
0.08019    6.40465000      6.51521145     
0.08119    6.26515000      6.42370745     
0.08219    6.13748000      6.33268815     
0.08319    6.06685000      6.24219495     
0.08419    5.98856000      6.15225412     
0.08519    5.86650000      6.06288700     
0.08619    5.74789000      5.97412690     
0.08718    5.70083000      5.88597806     
0.08818    5.66819000      5.79846464     
0.08918    5.60423000      5.71161822     
0.09018    5.47960000      5.62545946     
0.09118    5.31044000      5.53998831     
0.09218    5.19577000      5.45523239     
0.09318    5.15777000      5.37121287     
0.09418    5.10492000      5.28792816     
0.09518    4.98145000      5.20541760     
0.09618    4.87942000      5.12367497     
0.09718    4.85205000      5.04272612     
0.09818    4.79059000      4.96257636     
0.09917    4.72869000      4.88323973     
